County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Cameron County, TX,13,237,732,3092,13186,476,73,417276
Ada County, ID,3,81,653,1479,6426,229,82,416464
Genesee County, MI,69,980,2542,6105,8311,936,313,415376
Mobile County, AL,46,661,1493,4458,12315,1034,92,414079
Berks County, PA,21,481,776,2462,6058,797,45,413521
Dakota County, MN,2,91,316,1293,7451,483,39,408509
Hillsborough County, NH,2,275,565,1695,7007,339,117,403985
Richland County, SC,24,809,2622,4965,12511,2087,51,399256
Waukesha County, WI,4,48,154,746,4143,115,2,393843
Pulaski County, AR,61,1058,2458,7065,18011,1805,130,391284
Sarasota County, FL,17,288,861,2741,7901,378,26,390429
Pinal County, AZ,13,114,570,2207,6811,587,71,389350
Clackamas County, OR,9,133,165,1603,7037,749,41,388263
Orleans Parish, LA,193,1066,1566,3431,8258,2218,0,378715
Orange County, NY,9,377,632,1361,6868,242,35,375592
Stark County, OH,13,583,417,3773,7549,719,98,375432
St. Charles County, MO,4,65,410,825,5761,184,42,373495
Charleston County, SC,26,348,1031,1876,8817,891,38,372803
Butler County, OH,10,305,897,3621,11081,421,96,371272
Mercer County, NJ,26,760,811,2447,5057,715,38,370414
Placer County, CA,2,140,488,1601,4696,578,37,367309
Allen County, IN,24,469,438,2308,8185,518,64,363014
Westmoreland County, PA,6,118,366,1000,4093,192,63,362437
Forsyth County, NC,8,469,1360,5413,11233,831,112,361220
Lane County, OR,7,260,448,2622,10062,860,120,356212
Lehigh County, PA,21,478,331,1925,7098,597,41,355092
Washtenaw County, MI,6,188,690,2339,5739,441,85,354240
Nueces County, TX,18,392,1567,2723,11976,491,41,352107
Loudoun County, VA,3,52,181,350,3468,150,38,349679
Hamilton County, TN,26,560,1619,3405,10133,1216,37,348673
Madison County, AL,18,523,1445,3217,8556,919,33,346892
Manatee County, FL,26,388,1449,2720,7699,404,14,342106
Collier County, FL,6,151,631,1356,3932,243,16,339642
Anoka County, MN,1,88,267,1265,7687,358,34,339534
Marion County, FL,21,162,1267,1989,5080,242,16,337362
Somerset County, NJ,2,111,93,1028,3254,201,14,330585
Brazoria County, TX,8,91,323,1551,4488,289,28,330242
Chesterfield County, VA,10,149,197,1679,4958,291,75,327745
Bell County, TX,17,348,812,2792,6589,335,51,326843
Cumberland County, NC,30,728,980,6378,11924,999,104,325871
Marion County, OR,12,172,505,1814,7759,1112,67,323614
Davis County, UT,2,21,164,987,5288,284,18,322094
Rockland County, NY,2,144,324,540,3145,127,18,320903
Luzerne County, PA,17,233,562,1661,5892,354,55,320103
Henrico County, VA,14,226,303,1176,6322,384,57,318611
St. Louis city, MO,119,1778,3609,4995,13791,3543,464,318416
Larimer County, CO,3,75,548,1098,6270,252,52,315988
Boulder County, CO,0,97,361,1106,5226,291,106,310048
Fayette County, KY,16,618,377,3087,10620,972,72,308428
Lake County, FL,8,130,794,2003,4934,375,25,308034
McHenry County, IL,1,37,210,596,3236,55,33,307409
Albany County, NY,5,318,623,1497,7210,265,19,306945
Galveston County, TX,7,271,439,2049,6549,466,39,306782
Douglas County, CO,1,15,188,539,2438,93,28,305963
Escambia County, FL,22,502,1756,3899,9920,680,52,305817
Howard County, MD,5,178,363,1186,4934,313,64,304580
Lorain County, OH,5,175,182,2196,3263,192,50,302827
