County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Lincoln County, SD,0,10,86,244,752,67,11,49858
Le Flore County, OK,1,5,110,356,587,68,8,49774
Crittenden County, AR,8,165,662,1482,1753,189,28,49746
Washington County, MS,11,54,62,1242,1693,142,85,49688
Franklin County, KY,3,68,74,469,1224,86,9,49648
Calumet County, WI,0,7,49,102,469,18,0,49617
Chenango County, NY,0,9,31,180,753,25,2,49503
Gibson County, TN,0,21,227,367,812,49,9,49457
Lamar County, TX,5,37,127,441,1267,42,0,49426
Columbia County, OR,0,6,52,177,602,61,7,49344
Bristol County, RI,0,11,24,146,562,17,6,49220
Shelby County, OH,0,18,46,362,1119,38,14,49192
Bedford County, PA,2,2,42,182,400,34,7,49055
Henry County, IN,2,7,4,469,1344,74,1,49044
Oktibbeha County, MS,6,17,50,344,1094,38,4,49043
Cortland County, NY,1,19,33,249,772,20,7,48976
Jackson County, FL,0,27,163,245,577,24,5,48922
Boyd County, KY,1,33,37,374,1167,63,6,48886
Val Verde County, TX,1,10,56,207,624,18,8,48623
Queen Anne's County, MD,1,8,82,169,625,29,7,48517
Culpeper County, VA,1,14,45,103,741,49,1,48506
Carter County, OK,4,37,368,450,1327,109,23,48491
Greene County, NY,0,6,85,213,437,21,1,48455
Clinton County, IA,0,21,185,356,1025,65,11,48420
Franklin County, VT,0,17,67,320,755,75,1,48294
Warren County, MS,2,31,130,368,1210,80,5,48218
Campbell County, WY,0,4,57,202,1171,50,13,48176
Allegany County, NY,2,3,52,217,585,20,2,48109
Navarro County, TX,0,37,116,579,1230,56,1,48038
Cherokee County, OK,0,6,81,265,657,58,4,48017
Newaygo County, MI,3,2,68,268,684,41,6,48001
Laurens County, GA,3,54,102,486,1384,75,1,47999
Osage County, OK,1,20,90,358,593,89,17,47987
Buffalo County, NE,1,4,31,166,897,19,10,47893
Noble County, IN,0,2,19,145,486,15,1,47570
Carroll County, NH,0,12,58,250,808,45,10,47499
Beaufort County, NC,1,36,123,504,1007,33,12,47464
Lincoln Parish, LA,3,29,110,378,889,23,0,47414
Medina County, TX,1,4,57,134,425,25,2,47399
Warren County, IA,0,0,112,226,383,41,19,47336
Douglas County, NV,1,6,40,144,656,29,6,47118
Marshall County, IN,1,6,40,128,669,34,7,47109
Atascosa County, TX,3,8,62,372,837,50,1,47093
Macoupin County, IL,0,1,76,141,455,16,6,46880
Iron County, UT,1,5,113,218,832,53,4,46780
Santa Cruz County, AZ,1,13,39,191,490,72,0,46768
Stephenson County, IL,2,15,20,283,839,10,5,46740
Delaware County, NY,1,7,45,175,518,18,2,46722
Hopkins County, KY,2,13,29,269,642,58,6,46634
Mifflin County, PA,0,4,59,138,835,22,3,46616
Stokes County, NC,2,9,145,452,823,63,5,46588
Whitman County, WA,1,6,27,186,501,17,8,46570
Goodhue County, MN,0,6,47,203,823,67,5,46464
Fremont County, CO,0,5,90,198,625,30,4,46451
Washington Parish, LA,6,36,166,552,1075,76,2,46419
Richmond County, NC,8,49,132,974,1714,96,22,46405
Lincoln County, OR,0,16,132,320,973,60,17,46350
Henderson County, KY,1,39,33,231,771,60,3,46347
Colquitt County, GA,4,41,123,403,1250,65,9,46275
Chesterfield County, SC,2,21,183,362,1219,84,10,46197
Gadsden County, FL,5,25,202,444,659,42,5,46194
Hillsdale County, MI,0,2,68,180,471,15,6,46101
Baldwin County, GA,2,15,196,359,1044,40,3,46039
Auglaize County, OH,0,3,15,90,324,10,0,45920
Bedford County, TN,1,16,140,236,658,33,2,45901
Lawrence County, IN,2,5,94,235,678,43,6,45844
Polk County, TX,0,12,58,357,703,69,9,45790
Huntingdon County, PA,1,2,48,149,377,17,4,45694
Barron County, WI,1,6,29,147,437,18,2,45676
Beltrami County, MN,1,13,66,236,1496,45,12,45670
Kay County, OK,0,33,106,323,1143,70,16,45633
Fayette County, WV,5,26,86,352,826,58,4,45599
Hancock County, MS,4,11,7,77,290,17,3,45566
Itasca County, MN,0,1,44,107,716,18,0,45564
Perry County, PA,0,9,58,174,501,25,14,45562
Logan County, OH,0,7,22,409,923,24,1,45481
Wilson County, TX,3,3,34,143,437,39,0,45418
Monroe County, WI,0,3,39,175,917,31,7,45298
Bingham County, ID,0,5,45,212,506,39,4,45290
Monroe County, TN,5,10,179,337,882,98,13,45265
Sweetwater County, WY,3,5,170,120,794,38,7,45237
Waller County, TX,5,19,65,286,499,48,6,45213
Jefferson County, PA,1,6,44,140,319,16,7,44966
McDowell County, NC,0,9,58,488,821,63,5,44961
Stephens County, OK,3,19,97,441,1018,70,4,44919
Thomas County, GA,3,32,105,536,1155,100,9,44869
Union County, PA,1,5,16,138,344,9,1,44867
Vance County, NC,11,97,118,1029,1800,167,12,44808
Phelps County, MO,1,11,94,223,1129,52,7,44807
Mississippi County, AR,8,47,266,891,1273,114,6,44765
Shelby County, IN,0,2,16,138,951,53,2,44729
Pittsburg County, OK,0,17,64,449,981,77,11,44703
Nelson County, KY,1,13,22,249,432,46,4,44540
Calaveras County, CA,0,9,74,391,662,96,2,44515
Logan County, OK,0,4,35,231,483,48,7,44422
Callaway County, MO,1,12,99,318,941,50,3,44359
Charlottesville city, VA,2,50,130,165,1250,94,9,44349
Brown County, OH,0,2,6,127,279,6,1,44264
Bryan County, OK,1,9,204,366,865,76,2,44244
Shelby County, KY,2,20,28,320,523,42,5,44216
Dunn County, WI,0,1,52,126,588,32,1,44122
Tazewell County, VA,2,7,51,288,924,40,10,44103
Chilton County, AL,0,14,129,389,886,87,8,43951
Douglas County, WI,1,22,61,359,1199,92,23,43887
Camden County, MO,0,2,85,173,750,33,0,43862
Windham County, VT,0,18,76,306,701,38,1,43857
Burnet County, TX,0,8,52,213,585,45,3,43823
Siskiyou County, CA,5,13,74,240,505,74,2,43799
St. John the Baptist Parish, LA,8,26,24,423,812,73,1,43761
Suwannee County, FL,1,17,135,337,402,26,1,43734
Ohio County, WV,0,46,240,322,764,56,4,43727
Branch County, MI,1,2,49,194,515,15,9,43649
Holmes County, OH,0,2,2,71,270,15,1,43593
Cerro Gordo County, IA,2,3,37,433,1200,65,6,43575
St. Bernard Parish, LA,0,33,54,133,499,35,5,43482
Polk County, WI,1,4,79,151,359,31,0,43476
Jackson County, IN,1,7,88,296,1505,98,3,43466
Stevens County, WA,0,1,33,316,537,66,1,43430
Miller County, AR,1,45,360,488,1597,130,6,43402
Habersham County, GA,0,1,53,269,576,33,0,43300
Highland County, OH,0,5,44,326,758,40,5,43299
Madison County, OH,1,10,21,266,559,39,6,43277
Coffee County, GA,4,55,101,479,1458,56,7,43220
Mecosta County, MI,0,0,226,181,691,27,4,43108
Greene County, AR,2,17,87,685,1077,93,7,43097
Butler County, MO,1,35,185,446,1524,79,10,43083
Barren County, KY,1,6,26,159,366,31,4,43027
Sullivan County, NH,2,2,48,168,711,33,6,42984
McKean County, PA,0,3,79,178,558,19,8,42979
Danville city, VA,3,54,64,424,1483,45,15,42907
Muscatine County, IA,0,7,154,259,728,41,12,42836
Crawford County, OH,0,7,23,350,682,20,2,42808
Shenandoah County, VA,0,6,38,187,521,19,5,42684
Fulton County, OH,1,1,24,158,549,17,3,42488
Tioga County, PA,0,1,39,221,350,39,5,42463
Kandiyohi County, MN,0,8,41,156,742,39,5,42410
Dubois County, IN,0,0,24,42,210,14,0,42361
DeKalb County, IN,1,3,18,97,514,28,1,42307
Wood County, TX,1,3,44,268,495,37,7,42306
Nye County, NV,0,26,221,334,687,126,10,42297
Susquehanna County, PA,2,16,15,210,271,24,9,42286
Orleans County, NY,0,9,49,192,641,25,4,42235
Pettis County, MO,0,16,97,497,1389,86,9,42205
Dallas County, AL,9,70,245,743,1415,158,26,41996
Lawrence County, TN,2,8,160,363,823,51,12,41990
Gratiot County, MI,0,1,33,121,489,14,5,41968
Clinton County, OH,0,4,11,133,764,15,2,41945
Sanilac County, MI,1,3,58,178,392,23,6,41823
Kittitas County, WA,0,6,28,275,1027,75,12,41765
Preble County, OH,2,1,29,271,667,34,0,41732
Manassas city, VA,3,51,76,111,745,48,7,41705
Jim Wells County, TX,13,7,253,467,1089,93,14,41680
Shawano County, WI,1,1,25,239,577,37,1,41643
Marinette County, WI,1,10,3,462,568,49,8,41610
Davie County, NC,1,11,53,308,620,33,3,41554
Wyoming County, NY,0,6,39,76,404,17,2,41531
Wayne County, WV,2,14,84,300,629,61,10,41437
Delaware County, OK,1,0,67,165,441,48,4,41377
Avoyelles Parish, LA,2,17,271,378,787,35,3,41299
Sequoyah County, OK,0,2,95,239,587,43,12,41218
Wharton County, TX,1,24,132,296,796,40,9,41216
Tallapoosa County, AL,3,17,179,296,809,52,4,41203
Okanogan County, WA,0,9,66,276,477,64,5,41193
Polk County, GA,3,49,112,580,1254,91,5,41183
Ottawa County, OH,0,5,7,152,502,14,1,41153
Franklin County, TN,4,5,97,222,564,39,5,41129
Fremont County, WY,2,3,41,127,859,39,3,40998
Marshall County, IA,1,6,142,319,634,45,11,40994
Pierce County, WI,2,4,68,138,572,24,7,40976
Baxter County, AR,3,3,30,215,969,45,1,40957
Jackson County, NC,0,12,77,494,483,32,9,40919
Warren County, PA,1,6,88,149,567,29,3,40885
Ravalli County, MT,1,1,73,63,522,28,6,40823
Mayes County, OK,2,2,101,221,373,60,5,40804
Mercer County, OH,1,1,10,133,548,11,8,40784
Montrose County, CO,2,3,63,203,680,47,5,40713
Bonner County, ID,2,2,32,295,606,64,1,40699
Union County, AR,1,36,205,522,802,62,7,40694
Webster Parish, LA,1,13,109,153,351,32,1,40678
Wise County, VA,4,12,42,235,603,37,7,40589
Des Moines County, IA,3,20,177,339,1060,62,14,40480
Howell County, MO,1,4,119,312,1074,65,4,40393
Tift County, GA,5,45,154,369,1514,68,16,40286
Campbell County, TN,1,25,105,591,996,59,20,40238
Rio Arriba County, NM,1,38,182,401,396,39,3,40072
Pike County, MS,2,28,63,356,699,41,0,40014
Pasquotank County, NC,3,39,100,348,626,30,7,39981
Warren County, TN,1,9,125,262,718,74,7,39965
Clinton County, PA,0,2,34,143,562,17,4,39954
Nez Perce County, ID,0,10,43,324,1016,63,2,39915
Upshur County, TX,1,11,92,345,616,56,3,39884
Snyder County, PA,0,11,81,134,508,16,3,39865
Erath County, TX,0,3,43,217,661,31,3,39658
Levy County, FL,0,5,89,323,590,45,1,39644
Guernsey County, OH,3,16,41,286,544,33,4,39636
Knox County, ME,1,6,19,136,641,35,4,39550
Cheatham County, TN,1,9,117,211,609,68,2,39492
Douglas County, WA,1,7,20,260,550,32,4,39471
Champaign County, OH,1,4,26,229,677,27,6,39455
Okmulgee County, OK,1,7,62,268,630,72,14,39438
Okeechobee County, FL,0,30,150,550,786,51,0,39330
Mower County, MN,0,11,58,229,639,41,1,39327
Scott County, MO,2,26,422,236,1002,39,8,39290
Crawford County, KS,1,10,96,371,1334,73,19,39278
Person County, NC,0,14,79,378,589,33,5,39276
Woodford County, IL,0,1,19,66,308,10,1,39273
Murray County, GA,1,3,82,170,646,50,0,39267
Caldwell County, TX,0,15,107,223,523,40,2,39232
Benton County, MN,0,8,25,121,454,30,3,39214
Franklin County, IL,0,9,125,257,522,39,2,39202
Harrison County, IN,0,5,20,108,342,40,1,39163
Clarion County, PA,2,3,27,137,486,24,6,39155
Natchitoches Parish, LA,4,24,188,518,1223,50,4,39138
Waldo County, ME,1,2,14,231,444,27,6,38940
Essex County, NY,1,4,35,138,363,14,6,38762
Floyd County, KY,1,4,8,61,135,16,1,38728
Warren County, VA,0,6,18,101,738,35,1,38699
Chippewa County, MI,1,1,91,126,462,27,5,38696
Fayette County, TN,1,11,63,126,292,27,2,38690
Jefferson County, IL,0,27,198,326,832,30,16,38644
Marion County, IL,0,15,87,292,944,52,8,38622
Defiance County, OH,0,4,13,142,651,9,4,38532
Summit County, UT,0,8,45,89,828,34,1,38486
Cooke County, TX,1,13,68,257,675,40,5,38467
Cass County, IN,0,5,8,224,986,56,2,38463
Dyer County, TN,0,23,231,387,1084,50,3,38213
Isanti County, MN,0,0,10,90,472,29,0,38204
Livingston County, IL,1,7,66,144,657,20,91,38186
Lawrence County, MO,1,6,157,330,825,87,3,38185
Montgomery County, IN,1,6,47,275,672,43,0,38177
Latah County, ID,0,4,44,164,648,30,4,38078
Yadkin County, NC,2,6,110,376,552,35,6,38038
LaGrange County, IN,1,6,17,78,184,15,1,37996
Pontotoc County, OK,3,11,156,292,740,77,0,37992
Escambia County, AL,3,18,207,299,793,62,14,37983
Knox County, IN,0,7,9,217,676,62,1,37954
Talbot County, MD,0,18,58,243,611,18,6,37931
Brown County, SD,0,1,48,99,411,30,3,37907
Clinton County, IL,0,3,40,63,338,10,0,37907
Covington County, AL,1,7,78,282,684,38,12,37886
Greene County, PA,2,15,50,186,553,38,9,37838
Colleton County, SC,2,26,246,419,1151,194,14,37788
Kendall County, TX,1,4,18,118,469,21,0,37766
Brown County, TX,3,10,108,214,935,30,5,37749
Calloway County, KY,3,11,27,327,704,44,6,37657
Newberry County, SC,1,22,143,264,763,40,5,37521
Putnam County, IN,2,0,10,98,111,16,0,37505
Williams County, OH,0,1,10,139,432,28,5,37500
Graham County, AZ,1,0,229,119,251,21,7,37482
Hendry County, FL,0,37,181,595,646,52,8,37471
Graves County, KY,6,7,29,215,242,40,2,37451
Madison County, ID,1,1,19,46,260,5,2,37450
Albany County, WY,1,2,26,118,782,29,9,37422
Boone County, AR,1,3,108,292,737,71,9,37396
Geary County, KS,1,13,160,166,510,32,7,37384
Oconto County, WI,0,3,5,249,502,34,10,37318
Alcorn County, MS,0,0,0,0,0,0,0,37316
Prince George County, VA,0,8,19,91,331,52,1,37253
Clatsop County, OR,0,11,14,150,601,47,4,37244
Finney County, KS,0,12,123,150,832,28,15,37098
Green County, WI,0,1,23,100,540,39,3,37090
Webster County, IA,0,16,117,241,1030,71,10,37044
Independence County, AR,0,16,170,601,830,121,25,36997
Alexander County, NC,2,7,25,371,560,45,16,36930
Delta County, MI,0,7,67,145,900,32,3,36905
Scotts Bluff County, NE,0,3,18,137,658,39,2,36848
Gloucester County, VA,2,6,18,103,572,13,3,36834
Chambers County, TX,0,18,69,267,622,94,4,36812
Huntington County, IN,0,7,25,98,483,22,16,36791
Addison County, VT,0,2,16,183,356,17,3,36791
Coshocton County, OH,0,5,15,301,611,11,3,36760
Bennington County, VT,0,4,48,277,651,35,3,36659
Jasper County, IA,1,1,55,198,520,40,6,36641
Matagorda County, TX,1,19,90,290,770,23,5,36592
Douglas County, MN,1,3,25,116,381,29,3,36545
Amador County, CA,0,14,111,241,512,44,2,36519
Greenup County, KY,0,4,8,104,154,13,3,36519
Marshall County, MS,1,23,71,109,220,14,0,36515
Dodge County, NE,0,1,20,134,688,49,6,36515
McClain County, OK,0,10,45,322,710,103,5,36511
Webster County, MO,4,3,57,227,467,51,12,36466
Steele County, MN,0,1,26,118,586,26,5,36465
Fulton County, IL,0,5,45,148,452,16,2,36346
Houghton County, MI,0,1,12,76,403,10,2,36225
Cowley County, KS,0,4,132,259,820,63,8,36204
Beauregard Parish, LA,0,2,61,43,147,0,0,36167
Howard County, TX,3,12,158,303,908,54,7,36147
Miami County, IN,0,6,33,108,237,14,1,36140
Monroe County, MS,0,11,15,140,331,9,0,36116
Lincoln County, NE,0,8,38,151,1055,48,9,36051
Scotland County, NC,7,33,134,761,803,47,26,36025
Perry County, OH,0,2,8,48,218,4,2,35997
Logan County, WV,3,8,124,117,381,61,0,35987
McLeod County, MN,1,1,29,97,577,25,5,35918
Whitley County, KY,2,10,23,231,303,28,7,35766
Hale County, TX,2,10,57,243,794,24,5,35764
Ware County, GA,3,44,92,309,1275,56,8,35709
Oneida County, WI,0,0,56,148,545,19,1,35689
Lee County, IA,0,5,166,254,678,78,15,35682
Laclede County, MO,1,5,143,158,784,42,4,35667
Isle of Wight County, VA,4,11,31,106,468,23,6,35656
Jasper County, TX,2,7,94,201,554,21,1,35649
Greenbrier County, WV,4,0,23,95,382,28,6,35644
Clark County, KY,4,20,30,316,917,56,6,35614
Barry County, MO,0,7,86,363,940,67,10,35572
Hopkins County, TX,0,3,55,104,231,22,1,35565
Uintah County, UT,0,4,67,123,506,37,6,35555
Cocke County, TN,3,24,191,483,1033,89,15,35479
Carlton County, MN,1,3,28,132,724,29,7,35460
Seneca County, NY,0,3,50,119,662,11,2,35409
Halifax County, VA,0,11,45,242,656,38,4,35401
Wapello County, IA,2,17,54,327,723,56,20,35391
Madison County, NE,0,0,12,131,725,41,3,35278
Morgan County, IL,0,8,59,127,398,6,4,35067
Morrow County, OH,2,4,12,260,465,23,3,35033
Dare County, NC,2,16,60,605,1168,45,10,35019
Sagadahoc County, ME,0,6,8,142,613,15,5,35013
Lee County, IL,2,2,19,158,462,8,3,34858
Bladen County, NC,2,20,102,454,961,41,13,34843
Hill County, TX,1,12,71,265,581,20,5,34823
Ford County, KS,2,16,91,300,864,42,9,34819
Lincoln County, MS,2,8,21,154,395,15,8,34810
Harvey County, KS,0,5,114,236,658,37,3,34741
Orange County, VA,1,4,19,56,310,11,0,34689
Clark County, WI,0,1,99,80,177,18,4,34615
Adams County, IN,0,2,5,28,95,7,1,34614
Sioux County, IA,0,1,31,61,103,5,1,34547
Silver Bow County, MT,0,6,80,197,978,105,4,34523
DeSoto County, FL,1,30,112,319,487,23,4,34517
Pulaski County, VA,1,11,52,218,893,40,5,34507
Weakley County, TN,2,4,108,194,555,26,4,34450
Panola County, MS,5,6,116,627,1005,29,0,34402
Steuben County, IN,2,6,3,174,816,21,4,34358
Clarendon County, SC,1,31,147,352,904,82,11,34355
Lincoln County, OK,1,2,63,275,373,55,6,34351
Effingham County, IL,0,2,26,89,504,22,5,34307
Christian County, IL,0,0,38,83,238,23,9,34298
Montgomery County, KS,1,17,176,303,858,48,20,34292
Chambers County, AL,1,24,160,374,875,96,5,34162
Washington County, TX,1,9,56,175,505,31,1,34147
Lincoln County, ME,1,4,30,180,370,11,7,34088
Putnam County, OH,1,2,6,41,125,12,0,34088
Bureau County, IL,0,3,35,140,368,10,7,34056
Bolivar County, MS,0,30,19,141,712,25,2,34049
Oconee County, GA,0,4,36,61,397,32,1,34035
Louisa County, VA,1,2,31,83,375,28,6,33945
Preston County, WV,1,4,78,97,188,28,4,33859
Macon County, NC,1,6,28,215,495,28,1,33857
Fannin County, TX,4,3,40,180,366,25,2,33659
Lincoln County, TN,2,6,143,196,573,27,4,33633
Gibson County, IN,0,2,43,84,390,22,5,33612
Lawrence County, AL,0,6,89,206,362,49,5,33587
Evangeline Parish, LA,0,5,5,96,384,1,0,33578
Lyon County, KS,0,7,40,151,757,31,13,33510
Hot Spring County, AR,0,4,12,39,96,7,2,33500
Monroe County, IL,0,0,7,48,203,2,0,33493
Jasper County, IN,1,0,12,47,228,4,0,33389
Iberville Parish, LA,5,26,285,266,928,26,0,33367
Pike County, AL,4,21,107,316,779,61,7,33339
Whitley County, IN,0,1,11,27,163,11,0,33294
Marion County, IA,0,0,40,73,134,10,2,33252
Becker County, MN,0,1,18,49,232,33,0,33231
Bryan County, GA,0,8,41,122,451,29,0,33157
Accomack County, VA,2,15,37,179,423,21,41,33148
Emmet County, MI,0,0,21,78,414,10,1,33140
Williamsburg County, SC,4,39,145,440,785,116,17,33067
McCurtain County, OK,0,10,134,311,689,63,14,33065
Taos County, NM,2,7,46,171,338,5,1,33035
Nicollet County, MN,0,4,15,79,475,17,1,33032
Botetourt County, VA,0,1,25,75,203,9,2,33002
Warren County, MO,0,4,85,170,619,29,5,32999
Brookings County, SD,0,0,10,11,134,3,2,32968
Lafayette County, MO,2,2,26,173,452,45,2,32943
Clinton County, IN,0,17,56,190,822,58,2,32916
Transylvania County, NC,0,8,34,176,362,22,2,32903
Randolph County, IL,0,2,27,62,184,9,1,32890
Morrison County, MN,2,0,15,48,317,21,0,32872
Miami County, KS,0,0,45,154,489,37,14,32835
Bee County, TX,2,5,50,82,271,24,2,32799
Jackson County, OH,1,5,20,229,664,29,2,32783
Greene County, IN,2,0,10,45,334,18,0,32781
Caroline County, MD,3,21,80,336,572,40,10,32693
Harris County, GA,0,2,34,82,272,12,2,32663
Dorchester County, MD,1,36,114,296,784,49,11,32660
Juneau City and Borough, AK,0,16,90,94,975,30,9,32660
Wexford County, MI,0,7,49,139,590,12,3,32645
Titus County, TX,0,4,62,272,587,43,6,32581
Chester County, SC,2,25,156,389,867,60,2,32578
Petersburg city, VA,5,59,111,395,939,107,7,32538
Rhea County, TN,0,8,107,201,483,74,1,32513
Platte County, NE,0,2,14,87,517,28,2,32505
McDonough County, IL,0,2,45,141,554,9,3,32464
Marshall County, WV,0,6,68,180,605,23,3,32459
Jefferson County, IN,0,0,3,1,18,0,0,32458
Daviess County, IN,0,2,48,215,469,39,1,32407
Wabash County, IN,0,0,1,16,129,0,0,32358
Ottawa County, OK,0,5,77,207,583,38,5,32245
Huron County, MI,0,0,25,120,378,13,1,32224
Henry County, TN,1,12,79,293,684,31,0,32210
Washington County, ME,0,1,39,245,334,21,5,32190
Amherst County, VA,0,1,7,131,391,18,2,32178
Lassen County, CA,1,11,112,166,334,31,9,32163
Kleberg County, TX,1,18,134,370,960,20,4,32101
Adams County, MS,4,30,34,328,879,10,12,32090
Marion County, SC,8,51,231,771,1060,92,12,32072
Coos County, NH,2,6,18,97,400,9,4,31997
Schoharie County, NY,0,1,12,133,333,12,0,31844
Knox County, KY,0,8,11,217,160,28,4,31790
Dunklin County, MO,0,11,97,325,893,63,16,31712
Smyth County, VA,2,7,35,131,541,25,18,31652
Hardin County, OH,0,6,8,268,550,11,5,31641
Adams County, NE,0,10,24,196,810,44,2,31610
Leflore County, MS,2,46,137,601,906,34,3,31607
Polk County, MN,1,3,46,129,429,26,12,31569
Claiborne County, TN,1,13,158,369,425,51,9,31560
Franklin County, AL,0,13,134,216,494,35,2,31532
Elk County, PA,1,2,18,133,517,12,15,31479
Mecklenburg County, VA,0,12,36,226,462,39,14,31426
Sumter County, GA,0,40,192,741,826,42,0,31364
Jefferson Davis Parish, LA,0,11,27,97,507,36,1,31301
Stone County, MO,1,1,125,160,396,37,5,31297
Dillon County, SC,8,48,291,595,1206,105,12,31229
Muhlenberg County, KY,0,1,9,53,125,22,3,31179
Caledonia County, VT,1,6,34,256,396,22,3,31157
Obion County, TN,0,12,87,220,828,35,9,31131
Marshall County, TN,1,1,96,152,313,23,6,31130
Marshall County, KY,0,5,22,180,288,33,3,31107
Wakulla County, FL,0,4,75,149,513,22,7,31022
Polk County, MO,1,2,117,215,525,26,2,30974
Freeborn County, MN,0,1,32,86,531,23,6,30948
Lumpkin County, GA,0,2,68,117,311,28,2,30918
Pontotoc County, MS,1,4,35,181,224,25,4,30897
Gallia County, OH,2,10,12,323,686,21,2,30621
Clare County, MI,1,1,39,159,340,18,3,30569
Franklin County, ME,0,4,20,151,507,22,2,30495
Delta County, CO,0,5,24,98,446,28,10,30483
Malheur County, OR,0,5,66,195,816,30,0,30479
Marion County, AL,1,3,74,201,402,42,5,30334
Cass County, TX,2,8,71,298,376,41,1,30331
Vernon County, WI,0,0,10,59,200,10,1,30329
Hancock County, WV,0,3,17,59,215,18,1,30291
Wayne County, GA,8,24,163,318,1289,24,0,30077
Jefferson County, WA,0,2,46,199,481,40,12,30076
Logan County, IL,0,7,59,164,387,9,4,29964
Garrett County, MD,1,5,62,164,352,25,3,29889
Carroll County, VA,0,3,18,90,362,24,3,29883
Sheridan County, WY,1,2,21,108,386,18,3,29824
Stoddard County, MO,1,5,50,174,443,42,7,29780
Montgomery County, IL,0,3,90,102,388,16,4,29654
Williams County, ND,1,2,89,92,793,172,5,29595
Caddo County, OK,1,3,102,178,286,35,8,29594
Pickens County, GA,2,0,55,134,468,23,0,29584
Trempealeau County, WI,0,2,7,68,221,9,0,29582
McPherson County, KS,1,2,33,313,421,26,4,29569
Neshoba County, MS,0,11,37,144,164,11,0,29507
Randolph County, WV,2,5,107,158,508,25,7,29415
Custer County, OK,1,3,69,138,331,41,1,29377
Wythe County, VA,0,6,22,23,244,13,0,29344
Grant County, NM,0,17,68,207,521,36,3,29328
Caroline County, VA,1,7,19,90,298,19,10,29298
Park County, WY,1,2,53,109,359,13,4,29227
Meade County, KY,0,4,12,111,98,16,1,29210
Jackson County, WV,0,2,13,49,179,16,1,29178
Pine County, MN,0,2,46,198,774,77,1,29104
Alpena County, MI,1,1,39,125,429,7,5,29091
Lee County, GA,1,5,85,150,453,27,2,29071
Ellis County, KS,0,8,104,114,638,46,5,29061
Lake County, MT,1,1,101,134,522,69,5,29017
Boyle County, KY,2,27,27,192,492,21,4,29013
Morton County, ND,2,5,40,66,489,50,5,28990
Iroquois County, IL,1,1,12,100,289,11,3,28982
Copiah County, MS,1,1,14,50,66,6,2,28921
Orange County, VT,1,1,8,192,238,18,10,28915
Marion County, MO,1,10,55,200,1113,53,1,28904
Austin County, TX,1,5,43,142,322,27,1,28847
Fayette County, OH,0,16,23,365,843,30,5,28800
Giles County, TN,1,13,85,210,441,19,4,28746
Lincoln County, WI,0,0,39,170,345,18,5,28684
Hocking County, OH,3,6,6,205,501,12,2,28665
Summit County, CO,1,2,17,68,771,20,7,28649
Mason County, MI,2,1,43,147,744,29,7,28605
Gilmer County, GA,0,0,58,127,410,12,0,28579
Jones County, GA,1,3,18,150,372,36,4,28569
Cass County, MN,3,1,18,216,785,58,2,28555
San Miguel County, NM,0,8,121,155,273,24,6,28541
Carroll County, TN,0,3,62,174,366,24,4,28513
Harlan County, KY,0,3,15,77,152,8,2,28499
Haralson County, GA,1,4,155,310,442,90,1,28495
Van Wert County, OH,0,1,17,181,513,5,3,28459
Ripley County, IN,1,1,18,113,308,13,1,28419
Morgan County, CO,0,3,22,94,389,15,2,28404
Marion County, TN,0,4,83,116,380,46,1,28374
Tate County, MS,1,16,73,153,319,25,2,28373
Pike County, OH,3,5,7,88,310,19,6,28367
Carroll County, OH,0,0,56,80,157,17,5,28275
Scott County, MS,1,17,62,153,174,27,7,28273
Russell County, VA,1,3,50,124,337,10,5,28264
Powhatan County, VA,0,2,12,67,164,8,1,28259
Jennings County, IN,0,0,102,310,420,15,0,28241
Sanpete County, UT,0,5,8,56,296,18,0,28237
Stark County, ND,0,3,44,29,416,31,1,28212
Fredericksburg city, VA,2,21,88,87,991,21,11,28132
Adams County, OH,0,3,13,234,296,17,2,28105
Henry County, OH,2,3,10,171,538,19,3,28092
Madison County, GA,0,7,34,193,512,46,6,28057
Henderson County, TN,1,10,159,204,544,43,3,28048
Union County, SC,2,20,128,270,776,31,8,28030
Perry County, KY,0,8,15,92,280,11,3,28010
Marlboro County, SC,3,32,296,408,1074,67,5,28003
Wyoming County, PA,0,1,20,99,274,25,2,28003
Sunflower County, MS,2,28,69,275,552,4,0,27997
Glenn County, CA,0,7,69,230,400,102,7,27940
Dinwiddie County, VA,2,6,41,111,282,32,3,27904
Door County, WI,1,0,17,41,275,8,2,27896
Palo Pinto County, TX,2,10,51,219,751,41,4,27889
Bell County, KY,0,22,13,167,787,41,4,27885
Yazoo County, MS,1,16,54,252,239,23,0,27883
Del Norte County, CA,1,24,108,288,283,116,6,27873
Codington County, SD,0,2,53,132,428,30,2,27853
Wells County, IN,0,0,5,118,461,12,0,27814
Le Sueur County, MN,0,2,9,57,228,13,0,27810
Carroll County, AR,1,3,47,178,471,56,1,27808
White County, GA,2,2,42,212,426,28,0,27797
Lauderdale County, TN,2,16,147,420,472,41,4,27795
Washington County, IN,0,1,29,5,47,1,0,27780
Union County, MS,0,2,4,90,164,14,4,27754
Mineral County, WV,0,6,69,131,287,17,1,27704
Montgomery County, NC,4,6,40,241,549,31,3,27571
Hardee County, FL,1,12,54,229,471,36,0,27519
Barton County, KS,0,8,98,237,721,49,6,27509
Simpson County, MS,0,5,35,133,196,23,2,27500
